1000 200000
15 760 239
744 644 778
88 27 132
597 174 234
23 691 894
90 547 484
657 447 258
680 247 776
488 91 713
758 662 885
988 95 182
525 202 9
321 923 877
400 231 304
91 421 488
334 287 418
193 42 850
820 857 436
296 499 571
346 865 502
730 459 679
396 733 517
221 41 677
817 672 942
73 402 544
222 663 973
833 856 556
153 345 644
723 543 936
551 223 167
854 918 304
236 600 259
593 698 493
84 327 794
350 4 857
74 651 608
128 173 448
362 811 41
393 714 365
965 475 445
474 707 823
67 581 123
76 137 478
750 939 447
340 833 788
959 91 895
47 988 959
803 58 666
232 265 254
285 87 246
703 732 122
964 966 223
4 325 280
574 761 669
740 60 883
481 686 658
461 152 493
507 703 887
921 791 919
970 716 982
438 796 455
990 123 165
576 954 491
84 388 325
143 250 384
223 886 563
411 68 742
942 555 257
299 942 835
410 933 80
11 513 789
268 264 311
939 179 544
481 134 195
187 541 846
645 554 694
203 130 650
982 271 205
281 940 341
133 121 569
292 273 983
448 881 40
552 515 139
818 104 457
778 896 100
39 531 215
975 231 269
78 858 918
646 649 410
328 74 695
465 706 94
283 593 499
230 917 499
924 426 275
604 149 492
781 579 325
509 957 294
380 444 940
872 646 965
996 646 801
443 373 346
501 213 647
847 580 953
861 267 85
231 40 302
468 305 217
638 422 200
583 19 944
594 52 577
993 744 259
17 190 291
845 672 737
328 766 853
747 741 194
622 156 734
695 134 832
403 187 831
775 974 533
90 313 981
235 565 408
713 74 760
298 483 505
765 614 435
509 615 237
431 180 639
493 644 138
136 505 745
262 481 471
439 961 620
122 23 739
343 491 400
751 759 26
143 651 755
799 597 419
648 348 13
97 776 132
215 320 241
106 340 523
490 185 205
88 442 735
92 750 6
1 362 164
156 558 342
46 905 842
388 515 463
538 924 790
559 381 156
673 936 171
851 107 106
912 813 855
116 590 362
331 609 287
334 196 799
546 505 334
168 785 971
823 700 77
916 442 1000
571 665 375
604 776 374
265 832 598
76 483 958
818 78 251
752 405 568
130 977 689
751 716 120
488 974 430
162 568 561
141 894 848
234 506 220
632 685 617
913 559 148
230 970 272
226 86 856
287 631 377
167 470 200
498 226 876
346 39 790
644 95 984
48 219 11
698 186 462
798 667 830
61 668 288
207 605 812
241 359 338
753 947 670
311 342 905
500 348 310
45 641 275
204 327 2
803 497 326
870 527 179
406 789 479
569 171 693
318 212 230
591 316 894
226 225 616
794 545 146
808 260 543
697 276 681
443 580 689
973 411 599
284 471 118
721 46 932
333 389 294
433 483 775
842 245 174
470 870 119
248 40 143
923 273 870
430 279 813
199 609 969
314 762 690
381 490 814
226 738 127
582 53 504
973 320 344
753 663 353
754 844 924
276 337 293
186 905 685
747 23 827
637 543 221
508 106 484
470 796 201
743 357 269
459 297 265
560 17 9
